step,total_loss,abstract_loss,structural_loss,pattern_match_loss,regen_loss,mean_morpho_field,mean_energy
0,3.2634005546569824,0.0,0.36253127455711365,5.4836225509643555,0.9987630844116211,0.0012369081377983093,0.614228367805481
25,4.697728633880615,0.0,0.25895747542381287,8.697087287902832,0.619866669178009,0.38013333082199097,1.0
50,182.07608032226562,0.0,0.20597699284553528,363.84320068359375,0.0,1.0,1.0
75,11.018617630004883,0.0,0.35443758964538574,21.01567840576172,0.9798021912574768,0.02019779197871685,1.0
100,3.2011795043945312,0.0,0.20272484421730042,6.068601608276367,0.05934000015258789,0.9406599998474121,0.7852939367294312
125,13.296238899230957,0.0,0.20597699284553528,26.283512115478516,0.0,1.0,1.0
150,5.082657814025879,0.0,0.19592928886413574,9.833833694458008,0.07517558336257935,0.9248244166374207,1.0
175,85.91226196289062,0.0,0.20538488030433655,171.51617431640625,0.0005377531051635742,0.9994622468948364,1.0
200,76.42333221435547,0.0,0.3643103539943695,151.80020141601562,1.0,0.0,1.0
225,5.518405914306641,0.0,0.22807776927947998,10.470088958740234,0.449213445186615,0.550786554813385,1.0
250,3.587277412414551,0.0,0.2294209897518158,6.693634033203125,0.2735782861709595,0.7264217138290405,1.0
275,68.40316009521484,0.0,0.20597699284553528,136.4973602294922,0.0,1.0,1.0
300,0.9524037837982178,0.7979210019111633,0.20597699284553528,0.0,0.0,1.0,1.0
325,0.3463177978992462,0.19183504581451416,0.20597699284553528,0.0,0.0,1.0,1.0
350,0.5249098539352417,0.37042710185050964,0.20597699284553528,0.0,0.0,1.0,1.0
375,0.568350613117218,0.41386786103248596,0.20597699284553528,0.0,0.0,1.0,1.0
400,0.4088340997695923,0.25435134768486023,0.20597699284553528,0.0,0.0,1.0,1.0
425,0.4624646008014679,0.30798184871673584,0.20597699284553528,0.0,0.0,1.0,1.0
450,0.4402037560939789,0.2857210040092468,0.20597699284553528,0.0,0.0,1.0,1.0
475,0.3826292157173157,0.2281464785337448,0.20597699284553528,0.0,0.0,1.0,1.0
